revwNum,kbcSiteCode,revwKindCode,revwPatrCode,mmbrNum,mmbrId,cretDttm,revwCntt,revwEmtnKywrPatrCode,revwEmtnKywrCode,revwEmtnKywrName,revwRvgr,splrInclYsno,hdngYsno,cttsHdngRsnCode,hdngRsn,attndChekTrgtYsno,ordrId,rewardEvcAmnt,rewardEvcIsncYsno,rewardEvcIsncDate,mgrRewardEvcIsncYsno,mgrRewardEvcIsncRsn,evntId,dltYsno,saleCmdtid,saleCmdtDvsnCode,cmdtName,cmdtcode,saleLmttAge,recdcode,saleCmdtGrpDvsnCode,imgUrl,crtrId,amnrId,reviewAtacList,reviewAtacCount,atacFileNum,reviewRecommendCount,reviewCommentCount,reviewDeclarationCount,reviewRecommendUserYsno,declaration5timesYsno,declarationUserYsno,blockUserYsno,firstRevwNum,oneMonthRevwNum,chrcList,fndgPrjtSrmb,turnSrmb
2400121,001,001,002,62018267237,ji********,2021-02-11 16:53:10.306,딥러닝 아무것도 모르는데 이거 읽고 깨우쳤음.,002,001,집중돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,50*********,[],0,0,2,0,0,N,N,N,N,,None,[],0,None
15291814,001,001,002,62020250042,ql****,2025-01-24 22:59:13.290737,딥러닝에 대한 기본을 배울 수 있는 좋은 책이라고 생각합니다,002,002,도움돼요,4,N,N,None,None,N,None,0,None,None,None,None,None,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,AP****************,AP****************,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
15261466,001,001,002,62009130793,ma*****,2025-01-17 01:25:16.218177,자세하게 알려줘서 이해하기 쉬워요,002,004,최고예요,4,N,N,None,None,N,None,0,None,None,None,None,None,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,AP****************,AP****************,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
14976673,001,001,002,52017039668,rb******,2024-11-03 09:15:45.987704,잘볼게요 감사합니다,002,002,도움돼요,4,N,N,None,None,N,None,0,None,None,None,None,None,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,AP****************,AP****************,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
14375360,001,001,002,62005299929,js*****,2024-08-12 14:12:38.291326,시리즈물로 되어있어서 좋아요,002,004,최고예요,4,N,N,None,None,N,None,0,None,None,None,None,None,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,AP****************,AP****************,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
14323243,001,001,002,62017054292,sw********,2024-08-04 13:17:53.344136,딥러닝 혼공에 도움됩니다,002,005,추천해요,4,N,N,None,None,N,None,0,None,None,None,None,None,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,AP****************,AP****************,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
13869522,001,001,002,62018755562,cu*******,2024-05-31 16:30:41.07304,공부를 위해 구매했습니다. 감사합니다.,002,002,도움돼요,4,N,N,None,None,N,None,0,None,None,None,None,None,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,AP****************,AP****************,[],0,0,0,0,0,N,N,N,N,,14092980,[],0,None
13132223,001,001,002,62210388173,kw*****,2024-02-14 22:02:56.283654,딥러닝시리즈중 단연 최고,002,002,도움돼요,4,N,N,None,None,N,None,0,None,None,None,None,None,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,AP****************,AP****************,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
12832595,001,001,002,62016223253,pu*******,2024-01-02 09:39:41.835805,"잘 읽힙니다, 꼼꼼히 읽어보겠습니다.",002,002,도움돼요,4,N,N,None,None,N,None,0,None,None,None,None,None,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,AP****************,AP****************,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
12017432,001,001,002,62015478889,gy******,2023-08-09 13:49:12.161319,딥러닝을 하나하나 파이썬으로 만들어가면서 개념을 배우는 일은 정말 즐겁습니다.,002,004,최고예요,4,N,N,None,None,N,None,0,None,None,None,None,None,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,AP****************,AP****************,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
